,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isLeftRoll,isWalk
92,-0.45,-3.91,0.72,19.97,-30.2,19.83,0 days 00:00:16.759000000,0,1
93,-0.22,-3.67,0.71,4.27,4.67,-7.85,0 days 00:00:16.793000000,0,1
94,-0.01,-4.17,0.69,-4.52,35.83,-25.37,0 days 00:00:17.062000000,0,1
95,0.07,-4.94,0.42,-2.84,27.94,-5.89,0 days 00:00:17.337000000,0,1
96,-0.04,-4.18,-0.0,2.52,24.06,12.08,0 days 00:00:17.363000000,0,1
97,0.04,-3.88,0.07,3.22,42.43,11.57,0 days 00:00:17.628000000,0,1
98,-0.3,-4.0,0.24,10.34,8.47,25.51,0 days 00:00:17.654000000,0,1
99,-0.54,-4.28,0.3,-27.45,-22.58,64.98,0 days 00:00:17.931000000,0,1
100,-1.24,-3.5,0.49,-93.47,-45.07,118.98,0 days 00:00:18.396000000,1,1
101,-1.98,-3.43,-0.4,-127.28,-59.62,94.29,0 days 00:00:18.432000000,1,1
102,-2.29,-3.1,-0.67,-115.77,-138.82,-94.26,0 days 00:00:18.469000000,1,1
103,-1.16,-3.68,-1.7,-109.3,-57.98,-184.32,0 days 00:00:18.839000000,1,1
104,0.06,-3.72,-1.83,53.5,131.83,-279.39,0 days 00:00:18.865000000,1,1
105,1.82,-3.35,-1.07,110.14,120.05,-177.57,0 days 00:00:19.228000000,1,1
106,3.18,-2.76,-0.22,98.6,180.81,-38.41,0 days 00:00:19.254000000,1,1
107,2.03,-2.72,1.1,45.69,244.52,127.39,0 days 00:00:19.279000000,1,1
108,0.55,-3.82,2.54,18.09,55.86,214.53,0 days 00:00:19.655000000,1,1
109,-1.28,-3.27,2.01,-154.82,-72.96,157.74,0 days 00:00:19.678000000,1,1
110,-0.84,-3.89,0.83,-127.69,-88.64,49.19,0 days 00:00:20.033000000,1,1
111,-1.3,-4.0,0.53,-53.76,-24.05,-2.67,0 days 00:00:20.061000000,1,1
112,-1.09,-4.17,0.02,1.25,28.02,5.65,0 days 00:00:20.446000000,0,1
113,-1.17,-3.63,-0.01,3.77,1.56,-0.21,0 days 00:00:20.473000000,0,1
114,-0.76,-3.81,-0.07,-5.24,-37.56,-17.22,0 days 00:00:20.837000000,0,1
115,-0.68,-4.02,-0.15,-12.08,-43.47,-13.18,0 days 00:00:20.864000000,0,1
116,-0.73,-4.09,-0.09,5.01,-41.15,-11.6,0 days 00:00:20.889000000,0,1
117,-0.76,-3.64,0.37,-4.47,-81.24,-4.49,0 days 00:00:21.300000000,0,1
118,-0.9,-3.74,0.45,-9.13,-62.55,14.67,0 days 00:00:21.328000000,0,1
119,-0.74,-3.73,0.55,-5.54,-33.19,7.19,0 days 00:00:21.722000000,0,1
120,-0.95,-3.95,0.41,-11.76,-18.81,-19.6,0 days 00:00:21.746000000,0,1
121,-1.02,-3.63,0.1,-14.15,-32.44,-22.11,0 days 00:00:22.166000000,0,1
122,-1.06,-3.97,-0.07,-16.5,-55.51,12.56,0 days 00:00:22.197000000,0,1
123,-0.88,-3.72,-0.12,-20.21,-106.87,-4.41,0 days 00:00:22.231000000,0,1
124,-0.81,-3.86,-0.23,-36.72,-165.47,-10.67,0 days 00:00:22.708000000,0,1
125,-1.06,-3.94,-0.1,-48.0,-189.27,-4.38,0 days 00:00:22.732000000,0,1
126,-0.99,-3.72,0.31,-54.79,-195.31,0.21,0 days 00:00:22.756000000,1,1
