,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isRightRoll,isWalk
37,-0.57,-3.89,0.08,1.21,-41.36,-10.75,0 days 00:00:06.649000000,0,1
38,-0.61,-3.96,0.43,-10.53,-56.17,-14.81,0 days 00:00:06.866000000,0,1
39,-0.89,-3.93,0.85,3.74,-30.87,15.6,0 days 00:00:07.011000000,0,1
40,-0.75,-3.86,0.73,-2.4,-13.31,-0.93,0 days 00:00:07.175000000,0,1
41,-0.81,-3.96,0.8,6.38,-26.09,-11.08,0 days 00:00:07.412000000,0,1
42,-0.79,-4.15,0.46,-33.69,-89.16,-32.23,0 days 00:00:07.583000000,0,1
43,-0.7,-4.01,0.08,-29.56,-116.55,-12.12,0 days 00:00:07.763000000,0,1
44,-0.71,-3.75,-0.01,-26.03,-102.18,-2.76,0 days 00:00:07.940000000,0,1
45,-0.47,-3.9,-0.01,2.26,-78.76,14.95,0 days 00:00:08.134000000,0,1
46,-0.75,-3.98,0.34,54.49,-82.17,53.94,0 days 00:00:08.323000000,1,1
47,-1.49,-3.79,1.06,100.56,-6.12,6.75,0 days 00:00:08.519000000,1,1
48,-1.27,-3.31,1.99,150.38,42.79,-56.34,0 days 00:00:08.708000000,1,1
49,-1.21,-2.78,2.69,67.18,28.6,-126.27,0 days 00:00:08.828000000,1,1
50,-0.58,-3.01,2.85,-1.36,-56.6,-260.47,0 days 00:00:09.025000000,1,1
51,1.23,-2.92,1.96,-56.27,-191.07,-159.08,0 days 00:00:09.225000000,1,1
52,2.36,-3.15,0.23,-51.83,-270.78,-30.64,0 days 00:00:09.350000000,1,1
53,2.57,-3.36,-0.83,23.04,-180.23,73.74,0 days 00:00:09.579000000,1,1
54,1.57,-3.28,-1.01,25.62,-174.27,94.05,0 days 00:00:09.719000000,1,1
55,0.99,-3.55,-1.04,71.53,-136.96,113.68,0 days 00:00:09.953000000,1,1
56,-0.18,-3.74,-0.17,67.92,-133.39,86.82,0 days 00:00:10.059000000,1,1
57,-1.2,-3.79,0.54,-24.95,-179.77,18.58,0 days 00:00:10.311000000,1,1
58,-0.75,-3.9,0.52,-19.4,-143.39,11.62,0 days 00:00:10.424000000,0,1
59,-0.89,-3.84,0.58,-26.4,-86.31,13.92,0 days 00:00:10.678000000,0,1
60,-1.15,-3.99,0.39,7.44,-14.09,-11.47,0 days 00:00:10.813000000,0,1
61,-1.22,-3.7,0.06,8.58,-32.73,-25.68,0 days 00:00:11.056000000,0,1
62,-1.12,-3.74,0.05,-0.46,-40.98,-15.04,0 days 00:00:11.194000000,0,1
63,-1.04,-3.92,0.12,-1.94,-41.44,-5.73,0 days 00:00:11.342000000,0,1
64,-0.88,-3.75,0.16,-2.02,-40.31,-14.53,0 days 00:00:11.592000000,0,1
65,-1.22,-3.88,0.35,-10.12,-69.27,-3.95,0 days 00:00:11.735000000,0,1
66,-0.85,-4.09,0.83,-2.69,-22.98,2.43,0 days 00:00:11.885000000,0,1
