,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isUp,isWalk
192,-1.3,-3.97,0.33,15.54,-37.69,-4.14,0 days 00:00:36.968000000,0,1
193,-1.07,-4.03,0.75,-9.24,-19.02,-8.08,0 days 00:00:37.048000000,0,1
194,-0.77,-3.84,0.65,1.94,-0.34,-34.47,0 days 00:00:37.128000000,0,1
195,-0.56,-4.06,0.62,10.6,39.74,-28.11,0 days 00:00:37.206000000,0,1
196,-0.7,-4.4,0.06,8.69,42.11,5.94,0 days 00:00:37.290000000,0,1
197,-0.66,-3.94,0.06,15.21,20.89,25.79,0 days 00:00:37.373000000,0,1
198,-0.63,-3.83,0.19,5.05,-16.11,2.69,0 days 00:00:37.452000000,0,1
199,-0.6,-4.01,0.02,-16.09,-49.11,-31.39,0 days 00:00:37.528000000,0,1
200,-0.49,-3.85,0.4,1.83,-68.82,-29.98,0 days 00:00:37.608000000,0,1
201,-0.54,-3.92,0.67,-10.61,-76.14,-1.76,0 days 00:00:39.000000000,0,1
202,-0.34,-3.83,0.67,-3.59,-84.55,3.16,0 days 00:00:39.084000000,0,1
203,-0.39,-3.86,0.78,-2.47,-48.37,-1.25,0 days 00:00:39.189000000,0,1
204,-0.61,-3.94,0.74,20.29,-4.53,-17.48,0 days 00:00:39.284000000,0,1
205,-0.62,-3.78,0.39,-25.74,-29.69,-25.92,0 days 00:00:39.418000000,0,1
206,-0.54,-4.29,0.14,-13.16,-98.79,5.07,0 days 00:00:39.527000000,1,1
207,-0.18,-4.02,0.08,-5.05,-118.85,-10.09,0 days 00:00:39.620000000,1,1
208,-0.32,-4.05,0.04,15.36,-151.3,-79.59,0 days 00:00:39.700000000,1,1
209,1.23,-3.61,0.21,68.29,-155.76,-320.66,0 days 00:00:39.777000000,1,1
210,2.68,-3.12,0.83,134.38,-129.45,-47.51,0 days 00:00:39.855000000,1,1
211,2.11,-3.29,0.63,69.74,-183.33,149.62,0 days 00:00:39.931000000,1,1
212,1.28,-3.88,0.45,43.79,-180.32,200.32,0 days 00:00:40.008000000,1,1
213,0.36,-3.83,0.66,8.24,-113.95,35.45,0 days 00:00:40.083000000,1,1
214,0.35,-3.93,0.68,15.69,-52.72,-1.31,0 days 00:00:40.163000000,1,1
215,0.81,-4.19,0.09,-6.96,-4.31,-34.12,0 days 00:00:41.700000000,1,1
216,0.46,-3.78,0.01,6.63,-17.88,12.41,0 days 00:00:41.776000000,1,1
217,0.48,-3.81,0.06,2.31,-44.44,4.52,0 days 00:00:41.853000000,0,1
218,0.42,-4.01,-0.04,11.33,-69.97,-2.67,0 days 00:00:41.928000000,0,1
219,0.32,-4.34,0.23,17.62,-59.4,-9.21,0 days 00:00:42.004000000,0,1
220,0.15,-3.73,0.6,-6.17,-52.58,3.3,0 days 00:00:42.081000000,0,1
221,0.42,-3.85,0.54,0.47,-47.04,17.42,0 days 00:00:42.157000000,0,1
222,0.2,-3.74,0.62,2.0,-6.11,-1.56,0 days 00:00:42.234000000,0,1
223,0.33,-4.31,0.55,-17.5,14.06,-15.74,0 days 00:00:42.312000000,0,1
224,-0.21,-4.09,-0.06,-4.96,21.98,20.64,0 days 00:00:42.389000000,0,1
225,-0.18,-3.94,-0.12,14.4,1.85,7.76,0 days 00:00:42.465000000,0,1
226,-0.04,-3.92,-0.09,6.41,-18.72,8.7,0 days 00:00:42.542000000,0,1
227,0.06,-4.07,0.03,22.0,-44.12,-8.18,0 days 00:00:42.623000000,0,1
228,0.11,-4.16,0.27,22.95,-40.14,-17.98,0 days 00:00:42.699000000,0,1
229,-0.18,-4.19,0.77,6.09,-42.84,16.73,0 days 00:00:42.779000000,0,1
230,-0.06,-3.81,0.78,-9.98,-34.75,4.93,0 days 00:00:44.650000000,0,1
231,-0.27,-4.09,0.86,2.32,15.85,-8.27,0 days 00:00:44.727000000,1,1
232,-0.31,-4.4,0.29,-7.48,37.11,-35.05,0 days 00:00:44.806000000,1,1
233,-0.15,-3.78,0.08,18.75,49.42,-31.01,0 days 00:00:44.882000000,1,1
234,-0.29,-3.74,0.2,10.0,33.22,3.59,0 days 00:00:44.961000000,1,1
235,-0.07,-3.85,0.14,-7.18,-5.4,-81.66,0 days 00:00:45.042000000,1,1
236,1.68,-4.31,0.16,2.64,-6.6,-332.6,0 days 00:00:45.119000000,1,1
237,2.43,-2.74,0.64,18.32,-15.01,-67.4,0 days 00:00:45.198000000,1,1
238,1.72,-3.52,0.77,-4.79,-46.7,323.01,0 days 00:00:45.277000000,1,1
239,-0.27,-3.91,0.64,-11.57,-15.68,168.2,0 days 00:00:45.358000000,1,1
240,-0.36,-4.73,0.21,-3.51,30.31,-14.87,0 days 00:00:45.437000000,1,1
241,-0.29,-4.15,-0.1,11.3,26.18,-6.2,0 days 00:00:45.518000000,0,1
242,-0.32,-3.75,0.17,8.82,19.5,-4.79,0 days 00:00:45.599000000,0,1
243,-0.28,-3.93,-0.05,1.37,-1.4,-4.27,0 days 00:00:45.690000000,0,1
244,-0.12,-3.9,0.02,16.12,-23.92,-4.2,0 days 00:00:45.781000000,0,1
245,-0.48,-3.95,0.54,7.56,-33.66,0.55,0 days 00:00:45.870000000,0,1
246,-0.3,-3.81,0.45,10.2,-9.56,10.29,0 days 00:00:45.956000000,0,1
247,-0.18,-3.85,0.56,10.47,17.47,7.4,0 days 00:00:46.040000000,0,1
248,-0.25,-3.91,0.49,0.85,24.06,-14.61,0 days 00:00:48.256000000,0,1
249,-0.49,-3.61,0.31,12.5,24.4,-12.23,0 days 00:00:48.342000000,0,1
250,-0.48,-4.09,0.24,6.35,38.73,19.27,0 days 00:00:48.426000000,0,1
251,-0.2,-4.02,0.21,2.35,4.95,0.75,0 days 00:00:48.508000000,0,1
252,-0.49,-3.72,0.14,-15.11,-16.05,-2.05,0 days 00:00:48.589000000,0,1
253,-0.55,-3.82,0.39,-0.96,-21.59,5.85,0 days 00:00:48.673000000,0,1
254,-0.28,-4.17,0.44,-4.2,-36.87,6.6,0 days 00:00:48.760000000,0,1
255,-0.18,-4.02,0.43,3.68,-10.64,4.12,0 days 00:00:48.940000000,0,1
256,-0.34,-3.94,0.55,7.21,26.55,-6.7,0 days 00:00:49.080000000,0,1
257,-0.14,-4.14,0.26,2.14,33.91,-6.55,0 days 00:00:49.183000000,0,1
258,-0.19,-3.99,0.04,28.35,6.46,-10.37,0 days 00:00:49.272000000,1,1
259,-0.35,-3.7,0.14,9.33,-13.83,-38.52,0 days 00:00:49.368000000,1,1
260,0.63,-4.05,0.17,19.36,-42.27,-274.5,0 days 00:00:49.458000000,1,1
261,2.01,-3.57,0.65,49.94,-38.63,-179.31,0 days 00:00:49.542000000,1,1
262,2.44,-3.3,0.83,31.76,-80.9,119.74,0 days 00:00:49.636000000,1,1
263,1.13,-3.79,0.65,3.08,-113.69,267.13,0 days 00:00:49.720000000,1,1
264,0.07,-3.98,0.61,1.18,-77.37,37.88,0 days 00:00:49.805000000,1,1
265,0.02,-4.39,0.3,-3.28,-39.07,-2.15,0 days 00:00:49.890000000,1,1
266,-0.15,-3.79,0.06,21.69,-53.15,2.18,0 days 00:00:49.981000000,1,1
267,-0.36,-3.97,0.02,3.59,-70.66,12.52,0 days 00:00:50.070000000,1,1
268,-0.28,-3.82,-0.11,-12.87,-116.63,-5.22,0 days 00:00:50.155000000,0,1
269,-0.09,-4.15,-0.08,-34.49,-152.85,-18.17,0 days 00:00:50.238000000,0,1
270,-0.48,-4.03,0.25,-24.55,-144.29,8.99,0 days 00:00:50.322000000,0,1
