,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isLeft,isWalk
22,0.52,-3.7,0.33,37.05,-462.29,-58.5,0 days 00:00:03.874000000,1,1
23,0.58,-4.07,0.81,-10.87,86.9,11.86,0 days 00:00:04.050000000,1,1
24,0.12,-3.94,0.19,10.23,349.47,44.35,0 days 00:00:04.233000000,1,1
25,-1.53,-3.84,0.14,-5.37,196.89,38.46,0 days 00:00:04.433000000,1,1
26,-0.95,-3.8,0.23,-9.44,36.72,-2.14,0 days 00:00:04.581000000,1,1
27,-0.59,-4.0,0.36,3.18,-4.98,-1.15,0 days 00:00:04.790000000,1,1
28,-0.98,-3.75,0.31,-25.01,-22.82,-1.4,0 days 00:00:04.955000000,1,1
29,-0.69,-4.07,0.38,9.82,-0.44,11.86,0 days 00:00:05.124000000,0,1
30,-1.04,-3.79,0.56,27.24,42.6,2.11,0 days 00:00:05.331000000,0,1
31,-0.69,-3.98,0.25,22.58,43.13,-9.88,0 days 00:00:05.511000000,0,1
32,-0.9,-4.01,0.19,27.45,19.82,14.31,0 days 00:00:05.697000000,0,1
33,-0.74,-3.88,0.18,0.55,-0.18,-3.19,0 days 00:00:05.842000000,0,1
34,-0.85,-3.86,0.06,-3.97,-27.98,-2.76,0 days 00:00:06.036000000,0,1
35,-0.75,-4.63,0.23,-5.92,-38.72,-2.0,0 days 00:00:06.234000000,0,1
36,-0.74,-4.0,0.54,-15.51,-20.29,-12.7,0 days 00:00:06.394000000,0,1
37,-0.71,-3.93,0.58,6.29,1.6,-3.94,0 days 00:00:06.605000000,0,1
38,-0.85,-3.98,0.62,14.41,23.63,-12.38,0 days 00:00:06.768000000,0,1
39,-0.77,-4.02,0.25,16.03,19.28,0.21,0 days 00:00:06.938000000,0,1
40,-0.94,-3.8,0.14,7.8,18.14,13.98,0 days 00:00:07.118000000,0,1
41,-0.71,-3.74,0.15,0.53,-15.48,-6.55,0 days 00:00:07.295000000,0,1
42,-0.72,-4.5,0.08,-8.15,-27.15,1.18,0 days 00:00:07.478000000,0,1
43,-1.08,-3.24,0.73,-4.56,-8.67,-9.69,0 days 00:00:07.608000000,1,1
44,-1.07,-3.66,0.6,-10.73,-18.03,-0.9,0 days 00:00:07.801000000,1,1
45,-1.63,-3.83,0.58,28.46,-243.62,-42.93,0 days 00:00:07.999000000,1,1
46,1.46,-3.53,0.82,-19.07,-419.16,-57.98,0 days 00:00:08.210000000,1,1
47,0.91,-3.57,0.58,-18.79,116.31,9.65,0 days 00:00:08.353000000,1,1
48,-0.24,-3.43,-0.16,10.96,408.02,35.82,0 days 00:00:08.509000000,1,1
49,-1.03,-3.9,-0.1,-12.34,201.53,24.06,0 days 00:00:08.752000000,1,1
50,-1.02,-4.13,0.01,20.09,5.82,12.14,0 days 00:00:08.925000000,1,1
51,-0.77,-3.83,0.4,4.29,-33.39,9.45,0 days 00:00:09.111000000,1,1
52,-0.75,-4.17,0.49,-4.67,-35.94,-3.48,0 days 00:00:09.251000000,1,1
53,-0.67,-3.88,0.51,-1.95,15.22,-16.85,0 days 00:00:09.487000000,0,1
54,-0.6,-4.43,0.39,26.02,26.63,-20.15,0 days 00:00:09.593000000,0,1
55,-0.89,-3.92,0.11,19.63,14.23,8.47,0 days 00:00:09.793000000,0,1
56,-0.86,-3.68,0.17,10.09,5.42,3.4,0 days 00:00:09.996000000,0,1
57,-0.81,-3.92,0.01,-4.02,-19.4,-3.18,0 days 00:00:10.204000000,0,1
58,-0.92,-4.06,0.08,18.6,-1.1,-25.92,0 days 00:00:10.318000000,0,1
59,-0.81,-3.34,0.66,-0.56,-35.57,-22.66,0 days 00:00:10.526000000,0,1
60,-0.69,-3.58,0.66,-8.02,-21.88,-4.46,0 days 00:00:10.742000000,0,1
61,-0.64,-3.94,0.73,2.0,5.59,8.15,0 days 00:00:10.857000000,0,1
62,-0.62,-4.62,0.41,-9.13,18.63,-19.44,0 days 00:00:11.090000000,0,1
63,-0.91,-3.65,0.14,6.96,0.06,-11.28,0 days 00:00:11.214000000,0,1
