,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isRight,isWalk
27,-1.08,-3.74,0.12,3.19,-7.47,7.97,0 days 00:00:04.798000000,0,1
28,-1.1,-3.84,-0.04,-5.27,-32.15,-10.32,0 days 00:00:04.968000000,0,1
29,-1.02,-4.15,0.13,2.08,-35.91,-14.09,0 days 00:00:05.182000000,0,1
30,-1.05,-3.8,0.5,-19.71,-9.82,-14.14,0 days 00:00:05.356000000,1,1
31,-0.95,-3.8,0.3,-6.63,-20.69,1.25,0 days 00:00:05.533000000,1,1
32,-0.9,-3.97,0.4,18.49,16.75,-5.18,0 days 00:00:05.717000000,1,1
33,-0.74,-4.22,0.46,34.38,40.26,-27.15,0 days 00:00:05.855000000,1,1
34,-0.0,-3.92,-0.09,15.73,280.21,-22.41,0 days 00:00:06.036000000,1,1
35,-2.13,-3.39,-1.05,7.33,351.94,57.62,0 days 00:00:06.266000000,1,1
36,-1.63,-3.79,-0.45,26.43,-138.49,-4.66,0 days 00:00:06.406000000,1,1
37,-0.04,-3.49,-0.19,5.34,-371.04,-19.54,0 days 00:00:06.601000000,1,1
38,-0.38,-3.89,0.88,-26.06,-86.17,3.56,0 days 00:00:06.794000000,1,1
39,-0.86,-3.88,0.77,-15.04,-7.13,33.33,0 days 00:00:07.000000000,1,1
40,-0.75,-3.71,0.69,-10.31,-5.39,-3.27,0 days 00:00:07.171000000,0,1
41,-0.84,-3.88,0.61,0.78,28.49,-13.15,0 days 00:00:07.361000000,0,1
42,-1.08,-3.62,0.27,7.04,18.14,-13.44,0 days 00:00:07.467000000,0,1
43,-0.79,-3.91,0.24,17.97,38.44,-1.59,0 days 00:00:07.688000000,0,1
44,-0.95,-3.69,0.21,4.87,11.66,3.77,0 days 00:00:07.843000000,0,1
45,-0.91,-3.76,0.12,-12.58,-21.37,-9.76,0 days 00:00:08.000000000,0,1
46,-0.65,-4.14,0.24,1.79,-17.22,-22.58,0 days 00:00:08.229000000,0,1
47,-0.79,-3.42,0.7,-16.44,-21.21,-14.09,0 days 00:00:08.388000000,0,1
48,-0.49,-3.65,0.62,-10.56,-13.6,-12.43,0 days 00:00:08.552000000,0,1
49,-0.76,-4.16,0.54,0.08,15.18,3.53,0 days 00:00:08.788000000,0,1
50,-0.64,-4.55,0.21,22.31,40.02,2.66,0 days 00:00:08.956000000,0,1
51,-0.83,-3.71,0.05,21.22,48.52,-4.06,0 days 00:00:09.122000000,0,1
52,-0.87,-3.82,0.2,11.25,16.5,17.37,0 days 00:00:09.297000000,0,1
53,-0.91,-3.67,0.06,-10.0,-15.18,-2.31,0 days 00:00:09.474000000,0,1
54,-0.76,-4.03,0.27,4.2,-26.53,-8.66,0 days 00:00:09.649000000,0,1
55,-0.84,-3.44,0.59,-13.3,-17.1,-16.4,0 days 00:00:09.823000000,0,1
